,№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,id,gainSum2019,gainSum2020,gainSum2021,gainSum2022,gainSum2023,longitude,latitude
2318,220771,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙИНЖИНИРИНГ""",Малое предприятие,1197232008390,7203475919,72 - Тюменская область,г Тюмень,2019-10-04,Да,Нет,Нет,9.0,10979542,48181.0,142249.0,197311.0,294418.0,476950.0,65.5169,57.14979
2320,220805,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙНН""",Малое предприятие,1185275051752,5259136738,52 - Нижегородская область,г Нижний Новгород,2018-10-10,Нет,Нет,Нет,21.0,10799576,110451.0,133927.0,160936.0,73484.0,239853.0,43.837456,56.344105
2322,220828,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙСЕРВИС""",Малое предприятие,1137452007648,7452113771,74 - Челябинская область,г Челябинск,2016-01-08,Нет,Нет,Нет,1.0,8245502,133014.0,208587.0,214139.0,181112.0,320938.0,61.45031,55.162262
2323,220857,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙСЕРВИС""",Малое предприятие,1165476083629,5406605535,54 - Новосибирская область,г Новосибирск,2016-01-08,Нет,Нет,Нет,30.0,9685246,347551.0,168044.0,378927.0,341280.0,360413.0,82.90068,55.065365
2325,220964,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОСЛУК""",Малое предприятие,1220200016057,274972287,02 - Республика Башкортостан,г Уфа,2022-10-06,Нет,Нет,Нет,17.0,11846445,,,,59871.0,349841.0,,
2326,221005,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОСТРОЙ""",Малое предприятие,1163256055874,3257041773,32 - Брянская область,г Брянск,2016-01-08,Нет,Нет,Нет,19.0,9741265,30146.0,39822.0,46591.0,52879.0,97692.0,34.345196,53.263046
2327,221050,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОСТУПНЫЙ ДОМ ЖБК-1""",Малое предприятие,1073130002307,3102201978,31 - Белгородская область,,2016-01-08,Нет,Нет,Нет,79.0,6074659,66460.0,58258.0,57441.0,80297.0,215796.0,36.594357,50.59119
2328,221109,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДПМ""",Малое предприятие,1172225048335,2225187810,22 - Алтайский край,г Барнаул,2022-10-07,Нет,Нет,Нет,2.0,10482221,23033.0,16115.0,506783.0,268795.0,0.0,83.781456,53.337444
2329,221110,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДПМК ЯЛЬЧИКСКОЕ""",Малое предприятие,1102132000332,2120004040,21 - Чувашская Республика - Чувашия,,2016-01-08,Нет,Нет,Нет,47.0,4388079,130302.0,121608.0,122550.0,86512.0,98130.0,47.53941,55.26268
2330,221115,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДПС""",Малое предприятие,1167847186429,7810438067,78 - г.Санкт-Петербург,,2016-01-08,Да,Нет,Нет,8.0,9718989,124024.0,146113.0,167398.0,178085.0,125842.0,30.351662,59.834816
2331,221138,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДРАЙВ ЛОГИСТИКС""",Малое предприятие,1067847943680,7811342103,78 - г.Санкт-Петербург,,2016-01-08,Да,Нет,Нет,79.0,271954,68310.0,85126.0,112903.0,145336.0,34096.0,30.477071,59.879421
2332,221336,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДРИМСТРОЙ""",Малое предприятие,5187746013318,9721073241,51 - Мурманская область,г Мурманск,2019-10-01,Нет,Нет,Нет,5.0,10879469,100000.0,138900.0,185272.0,199200.0,75002.0,37.56381,55.66832
2333,221387,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДРСУ-1""",Малое предприятие,1175024034679,5024181838,50 - Московская область,г Красногорск,2018-10-01,Нет,Нет,Нет,12.0,10503801,98859.0,240078.0,253959.0,283489.0,473657.0,37.300095,55.830166
2334,221388,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДРСУ-1""",Малое предприятие,1124345009700,4345328713,78 - г.Санкт-Петербург,,2016-01-08,Нет,Нет,Нет,30.0,1625065,104532.0,150850.0,230474.0,324467.0,239544.0,30.305073,59.96222
2336,221508,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДС-ГРУППА ЛТД""",Малое предприятие,1037700230842,7708102436,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,27.0,2470006,135301.0,129902.0,80981.0,79350.0,130301.0,37.642014,55.784634
2337,221566,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСК ""ВЕЛЕС""",Малое предприятие,1121690084230,1657124526,16 - Республика Татарстан (Татарстан),г Казань,2021-10-07,Да,Нет,Нет,46.0,7588442,550354.0,731161.0,925954.0,1112287.0,1429787.0,49.12403,55.7987
2338,221681,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСК-АСКОР""",Малое предприятие,1142301003877,2301087390,23 - Краснодарский край,г Анапа,2016-01-08,Нет,Нет,Нет,1.0,8982818,81334.0,78275.0,7249.0,0.0,0.0,37.304204,44.885674
2339,221733,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСК""",Малое предприятие,1227400012113,7453345856,74 - Челябинская область,г Челябинск,2022-10-05,Нет,Нет,Нет,2.0,11818108,,,,125105.0,8574.0,,
2340,221764,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСК""",Малое предприятие,1106311001466,6311120220,63 - Самарская область,г Самара,2016-01-08,Нет,Нет,Нет,39.0,4802609,67960.0,97921.0,103149.0,130971.0,243359.0,50.223495,53.240223
2341,221766,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСК""",Малое предприятие,1150327025089,326542993,38 - Иркутская область,г Иркутск,2016-01-08,Нет,Нет,Нет,11.0,9542383,443819.0,601759.0,230103.0,46235.0,7044.0,104.24997,52.273888
2342,221778,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСМ""",Малое предприятие,1024500525235,4501090108,45 - Курганская область,г Курган,2016-01-08,Да,Нет,Нет,66.0,6860631,460728.0,346524.0,299002.0,477640.0,848035.0,65.354234,55.440197
2343,221781,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСМ""",Малое предприятие,1152540008235,2540215942,25 - Приморский край,г Владивосток,2016-01-08,Нет,Нет,Нет,94.0,9524536,290174.0,433021.0,454279.0,1096162.0,812062.0,131.88884,43.12332
2344,221835,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСУ 44""",Малое предприятие,1149102110805,9103013350,91 - Республика Крым,г Ялта,2016-01-08,Нет,Нет,Нет,32.0,8983803,62740.0,92109.0,198197.0,200816.0,230297.0,34.16745,44.500515
2345,221837,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСУ ИНЖСТРОЙ""",Малое предприятие,1084027001013,4027085217,20 - Чеченская Республика,г Грозный,2016-01-08,Нет,Нет,Нет,21.0,4395157,181764.0,560035.0,260154.0,679902.0,619201.0,36.266403,54.506306
2346,221846,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСУ-ИНВЕСТ""",Малое предприятие,1151651001853,1651074773,16 - Республика Татарстан (Татарстан),г Нижнекамск,2016-01-08,Да,Нет,Нет,19.0,9227491,67100.0,111744.0,36362.0,39644.0,1813.0,51.811455,55.64164
2347,221851,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДСФ ИНЖИНИРИНГ""",Малое предприятие,1167746564215,7714392885,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,17.0,9796037,282976.0,384897.0,377610.0,206328.0,151731.0,37.704258,55.877316
2348,221915,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДУБЛЬДОМ СМОЛЕНСК""",Малое предприятие,1056734990795,6714025315,67 - Смоленская область,г Смоленск,2016-01-08,Нет,Нет,Нет,5.0,2828703,36012.0,74172.0,171619.0,175237.0,133966.0,32.047268,54.76772
2349,221936,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДУБРАВА""",Малое предприятие,1070309000035,309013943,03 - Республика Бурятия,,2016-01-08,Нет,Нет,Нет,66.0,2858920,1930.0,30218.0,108313.0,34106.0,138606.0,106.656364,52.053635
2350,221964,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДУГАЛАК-ИНВЕСТ""",Малое предприятие,1177627020614,7602137894,76 - Ярославская область,г Ярославль,2017-10-07,Нет,Нет,Нет,10.0,10276413,46679.0,176600.0,246867.0,245432.0,135787.0,39.8737,57.632626
2351,221998,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДУН ДЭ""",Малое предприятие,1077536003665,7536078516,75 - Забайкальский край,г Чита,2016-01-08,Нет,Нет,Нет,16.0,3644665,90864.0,7411.0,19367.0,32904.0,93757.0,113.49445,52.029568
2352,222072,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЭ-СТРОЙ""",Малое предприятие,1022401625300,2457049753,77 - г.Москва,,2016-01-08,Да,Нет,Нет,10.0,755054,62411.0,123447.0,104902.0,54783.0,166386.0,37.420197,55.733273
2353,222077,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЭВЭЛ""",Малое предприятие,1155836000650,5836670720,58 - Пензенская область,г Пенза,2016-01-08,Нет,Нет,Нет,27.0,9076157,178213.0,27314.0,27800.0,0.0,42830.0,45.009186,53.181026
2354,222135,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЭЛОК""",Малое предприятие,1227700392050,9701211373,77 - г.Москва,,2022-10-08,Нет,Нет,Нет,26.0,11885881,,,,,,,
2355,222206,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЭРСС""ДМИТРОВЭНЕРГОРЕМСТРОЙСЕРВИС""",Малое предприятие,1155007003348,5007095875,50 - Московская область,,2016-01-08,Нет,Нет,Нет,17.0,9469856,37644.0,43569.0,55462.0,69866.0,74554.0,37.52492,56.340633
2356,222243,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЮЙМ""",Малое предприятие,1066501074551,6501175891,65 - Сахалинская область,г Южно-Сахалинск,2016-01-08,Да,Нет,Нет,31.0,1139490,46339.0,25279.0,82091.0,29164.0,112923.0,142.7287,46.967335
2357,222271,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЮНА""",Малое предприятие,1047200039149,7205013363,55 - Омская область,г Омск,2016-01-08,Да,Нет,Нет,45.0,1937745,75986.0,98493.0,127458.0,195793.0,174441.0,73.40611,54.97818
2358,222385,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВАСТРОЙ""",Малое предприятие,1183443005327,3443139180,34 - Волгоградская область,г Волгоград,2020-10-11,Нет,Нет,Нет,18.0,10600266,25887.0,108788.0,228368.0,466747.0,25703.0,44.432205,48.654827
2359,222386,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВАСТРОЙ""",Малое предприятие,1197847104377,7804645509,78 - г.Санкт-Петербург,,2019-10-05,Нет,Нет,Нет,3.0,11015909,20043.0,145993.0,465448.0,377248.0,,30.35898,59.95366
2360,222399,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВК ТЕХСТРОЙ""",Малое предприятие,1154025004253,4025445337,40 - Калужская область,г Обнинск,2016-01-08,Да,Нет,Нет,31.0,9564939,93302.0,62635.0,100876.0,75574.0,37533.0,36.616695,55.098793
2361,222405,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВМАР""",Малое предприятие,1097746526426,7724717613,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,15.0,3362236,336583.0,155946.0,261965.0,205087.0,437966.0,37.553185,55.7601
2362,222470,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРАЗИЯ-СТРОЙ""",Малое предприятие,1185658003684,5638073200,56 - Оренбургская область,,2018-10-03,Нет,Нет,Нет,1.0,10563418,75997.0,69782.0,22886.0,,,55.106773,51.781174
2363,222498,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРАЗИЯСТРОЙПЕРЕВОЗКА""",Малое предприятие,1206600057267,6685179477,66 - Свердловская область,г Екатеринбург,2020-10-11,Нет,Нет,Нет,7.0,11422899,,159839.0,348813.0,,,60.63776,56.819744
2364,222547,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРО МОДУЛЬ ИНЖИНИРИНГ""",Малое предприятие,1116674000156,6674369613,66 - Свердловская область,г Екатеринбург,2016-01-08,Нет,Нет,Нет,16.0,734504,57242.0,375455.0,202050.0,687083.0,380030.0,60.59965,56.833664
2365,222638,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРО-ДОМ""",Малое предприятие,1157746096089,7720291726,77 - г.Москва,,2017-10-08,Да,Нет,Нет,14.0,9081634,102176.0,328778.0,389556.0,571532.0,287738.0,37.756973,55.686058
2366,222662,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРО-ПАРТНЕР""",Малое предприятие,1085658010680,5612066222,56 - Оренбургская область,г Оренбург,2016-01-08,Да,Нет,Нет,19.0,3503354,229177.0,136682.0,113822.0,108805.0,148414.0,55.09075,51.756638
2367,222832,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОГРУПП""",Среднее предприятие,1195275039080,5256182937,52 - Нижегородская область,г Нижний Новгород,2023-10-07,Нет,Нет,Нет,50.0,11096197,162153.0,492984.0,2026999.0,1288506.0,233885.0,43.869076,56.241116
2368,222877,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОДОМ""",Малое предприятие,1034205043663,4205049702,42 - Кемеровская область,г Кемерово,2016-01-08,Нет,Нет,Нет,17.0,5800204,60699.0,33320.0,82825.0,87363.0,37910.0,86.07127,55.3633
2369,222942,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОИНВЕСТ ДЕВЕЛОПМЕНТ""",Малое предприятие,1177847387816,7813294991,78 - г.Санкт-Петербург,,2017-10-12,Нет,Нет,Нет,1.0,10468755,503875.0,554811.0,583242.0,602996.0,50645.0,30.29725,59.913265
2371,223012,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОКОНТ""",Малое предприятие,1136318007517,6318235862,63 - Самарская область,г Самара,2016-01-08,Да,Нет,Нет,6.0,8093310,137739.0,141777.0,46758.0,133659.0,271139.0,50.21683,53.19972
2372,223021,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОКРОВ""",Малое предприятие,1057810236164,7811317837,78 - г.Санкт-Петербург,,2016-01-08,Да,Нет,Нет,8.0,3656427,113414.0,145112.0,134686.0,37636.0,7791.0,30.477071,59.879421
2374,223072,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОМАСТЕР""",Малое предприятие,1082222008615,2222077174,22 - Алтайский край,г Барнаул,2017-10-08,Нет,Нет,Нет,19.0,5308412,51064.0,93232.0,98890.0,24215.0,,83.781456,53.337444
2375,223086,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОМЕТСТРОЙ""",Малое предприятие,1177746138822,7702413026,77 - г.Москва,,2017-10-03,Нет,Нет,Нет,3.0,10105410,327012.0,240432.0,870241.0,791879.0,,37.569813,55.72403
2377,223179,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОПЕЙСКИЕ СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ""",Среднее предприятие,1096952022914,6950108726,69 - Тверская область,г Тверь,2021-10-07,Да,Нет,Нет,117.0,516338,5048977.0,1873316.0,763856.0,1033391.0,608330.0,35.896866,56.829468
2378,223180,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОПЕЙСКИЕ СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ""",Малое предприятие,1107847077931,7814462670,78 - г.Санкт-Петербург,,2016-01-08,Да,Нет,Нет,210.0,2094292,136471.0,300714.0,381231.0,1325162.0,4063761.0,30.265001,59.984383
2379,223301,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСИСТЕМА""",Малое предприятие,1107746961959,7728756099,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,12.0,240296,31383.0,42918.0,98707.0,11197.0,0.0,37.605785,55.659355
2380,223364,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТАНДАРТ""",Малое предприятие,1217700600490,9704105831,77 - г.Москва,,2022-10-01,Нет,Нет,Нет,11.0,11731748,,,,322307.0,,,
2381,223374,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТАНДАРТ""",Малое предприятие,1165835072050,5837068099,58 - Пензенская область,г Пенза,2016-10-12,Да,Нет,Нет,0.0,10024127,703741.0,702390.0,80588.0,0.0,,45.005375,53.186066
2382,223397,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТИЛЬ""",Малое предприятие,1154205002820,4205303780,42 - Кемеровская область,г Кемерово,2016-01-08,Нет,Нет,Нет,21.0,9103495,71201.0,54589.0,68986.0,45139.0,0.0,86.07127,55.3633
2383,223497,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ-ИНВЕСТ""",Малое предприятие,1108602002101,8602167918,86 - Ханты-Мансийский автономный округ - Югра,г Сургут,2016-01-08,Нет,Нет,Нет,25.0,4444757,47058.0,49694.0,77755.0,39179.0,13634.0,73.44422,61.234562
2384,223509,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ-РАЗВИТИЕ""",Среднее предприятие,1137847344139,7813570948,78 - г.Санкт-Петербург,,2019-10-08,Нет,Нет,Нет,48.0,8061855,1002320.0,1077910.0,544405.0,1297289.0,1418694.0,30.305073,59.96222
2385,223580,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ""",Малое предприятие,1166952064388,6950194700,69 - Тверская область,г Тверь,2016-01-08,Нет,Нет,Нет,78.0,9831080,179492.0,254635.0,367170.0,539012.0,349184.0,35.896866,56.829468
2386,223624,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ""",Среднее предприятие,1133123017411,3123328816,31 - Белгородская область,,2016-01-08,Да,Нет,Нет,30.0,8058603,464964.0,1007759.0,1300860.0,1247336.0,2685077.0,36.594357,50.59119
2387,223631,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ""",Малое предприятие,1135018008718,5018159143,50 - Московская область,г Королёв,2016-01-08,Нет,Нет,Нет,1.0,8034466,185122.0,126620.0,139959.0,4133.0,0.0,37.80984,55.915817
2388,223645,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ""",Малое предприятие,5087746320350,7716618263,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,21.0,5503174,351290.0,116755.0,179847.0,173137.0,,37.704258,55.877316
2389,223646,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ""",Малое предприятие,1169658121874,6686086480,66 - Свердловская область,г Екатеринбург,2016-10-11,Да,Нет,Нет,21.0,9968146,103809.0,64628.0,78177.0,41121.0,50833.0,60.59965,56.833664
2390,223668,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ""",Малое предприятие,1172375079436,2311245889,23 - Краснодарский край,г Краснодар,2017-10-10,Нет,Нет,Нет,23.0,10392206,72231.0,206651.0,305210.0,414875.0,265716.0,38.95408,45.05121
2391,223681,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ""",Малое предприятие,1182724022975,2722120861,27 - Хабаровский край,г Хабаровск,2018-10-11,Нет,Нет,Нет,11.0,10804755,186997.0,172372.0,98301.0,149063.0,,135.05856,48.49095
2392,223689,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ""",Среднее предприятие,1191690064785,1655421756,16 - Республика Татарстан (Татарстан),г Казань,2023-10-07,Нет,Нет,Нет,199.0,11102555,147157.0,677515.0,300475.0,111611.0,,49.12403,55.7987
2393,223708,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ""",Малое предприятие,1217700159489,7743358198,77 - г.Москва,,2021-10-05,Нет,Нет,Нет,21.0,11563146,,,145782.0,40070.0,95985.0,37.409763,55.834743
2394,223793,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ""",Малое предприятие,1086230004585,6230064401,62 - Рязанская область,г Рязань,2016-01-08,Нет,Нет,Нет,20.0,1008530,150992.0,188756.0,198375.0,240802.0,265258.0,39.741459,54.604338
2396,223908,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙ72""",Малое предприятие,1167232053570,7203371772,72 - Тюменская область,г Тюмень,2016-01-08,Нет,Нет,Нет,23.0,9613004,102432.0,35536.0,31936.0,54630.0,76311.0,65.5169,57.14979
2397,223973,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙКОНСАЛТ""",Малое предприятие,1067746548660,7705729170,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,23.0,5398,100502.0,131592.0,130533.0,207052.0,762374.0,37.753353,55.435013
2398,224034,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙСЕРВИС""",Малое предприятие,1058602802719,8604034871,86 - Ханты-Мансийский автономный округ - Югра,г Нефтеюганск,2016-01-08,Да,Нет,Нет,27.0,2221222,126216.0,128163.0,256677.0,274029.0,326481.0,72.62471,61.08601
2399,224041,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСТРОЙСЕРВИС""",Малое предприятие,1034205053134,4205052737,42 - Кемеровская область,г Кемерово,2016-01-08,Нет,Нет,Нет,47.0,5807690,79067.0,28624.0,85030.0,116873.0,95569.0,86.07127,55.3633
2401,224135,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОТЕХСТРОЙ+""",Малое предприятие,1101690045357,1657096685,16 - Республика Татарстан (Татарстан),г Казань,2016-01-08,Нет,Нет,Нет,28.0,246562,290179.0,256548.0,219611.0,94152.0,183211.0,49.102573,55.83528
2402,224208,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОЭКСПЕРТСТРОЙ""",Малое предприятие,1177746453235,7725372190,77 - г.Москва,,2017-10-06,Да,Нет,Нет,5.0,10213414,529760.0,603607.0,525762.0,479878.0,633849.0,37.66441,55.7058
2403,224212,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОЭЛИТИНВЕСТ""",Малое предприятие,1157746891554,7729476030,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,14.0,9430447,299839.0,177700.0,126057.0,51243.0,216991.0,37.414753,55.65519
2405,224285,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕДИНЕНИЕ""",Малое предприятие,1026301992650,6382020906,63 - Самарская область,г Тольятти,2016-01-08,Нет,Нет,Нет,21.0,2918984,235948.0,299103.0,143363.0,227638.0,351574.0,49.339176,53.547606
2406,224292,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕДИНСТВО БАЛАКОВО""",Малое предприятие,1166451064670,6439090548,64 - Саратовская область,г Балаково,2016-01-08,Да,Нет,Нет,67.0,9772556,34288.0,35470.0,35026.0,39462.0,40482.0,47.824123,52.013868
2407,224373,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕЙСКЭЛЕКТРОСЕРВИС""",Малое предприятие,1052303062404,2306026120,23 - Краснодарский край,г Ейск,2016-01-08,Нет,Нет,Нет,15.0,1658498,17836.0,18001.0,18645.0,17303.0,13886.0,38.301617,46.68453
2409,224402,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕКАД""",Малое предприятие,1146670008430,6670422200,66 - Свердловская область,г Екатеринбург,2016-01-08,Нет,Нет,Нет,11.0,8541593,1298602.0,304481.0,266468.0,651004.0,1436516.0,60.639294,56.843575
