№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,gainSum2019,gainSum2020,gainSum2021,gainSum2022,gainSum2023
225633,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСЕРВИС""",Малое предприятие,1153022000207,3022003466,30 - Астраханская область,г Знаменск,2016-01-08,Нет,Нет,Нет,9.0,129924,59896,106747,173963,65818
225634,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСЕРВИС""",Малое предприятие,1160280083578,264072576,02 - Республика Башкортостан,г Нефтекамск,2016-01-08,Нет,Нет,Нет,81.0,126991,123574,139970,160934,167788
225653,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСОЦСТРОЙ""",Малое предприятие,1177746853129,7726408498,77 - г.Москва,,2017-10-09,Нет,Нет,Нет,21.0,328576,223044,356006,211648,592925
225667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСПЕЦСТРОЙ""",Малое предприятие,1043106500656,3122503776,31 - Белгородская область,г Алексеевка,2016-01-08,Нет,Нет,Нет,7.0,12771,39,3869,83901,0
225670,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСПЕЦСТРОЙ""",Малое предприятие,1045401320920,5403173051,54 - Новосибирская область,г Новосибирск,2016-01-08,Нет,Нет,Нет,2.0,24661,184356,183700,162797,
225675,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ",Малое предприятие,1227700370864,9705172742,77 - г.Москва,,2022-10-07,Нет,Нет,Нет,5.0,,,,165420,
225688,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ КСМ""",Малое предприятие,1201000000563,1001346300,10 - Республика Карелия,г Петрозаводск,2020-10-03,Нет,Нет,Нет,69.0,,55692,98040,143114,156960
225722,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ""",Среднее предприятие,1026103728870,6165078698,61 - Ростовская область,г Ростов-на-Дону,2020-10-08,Да,Нет,Нет,211.0,466936,535096,601565,580508,1116365
225726,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ""",Малое предприятие,1024800790662,4821012596,48 - Липецкая область,г Елец,2016-01-08,Нет,Нет,Нет,20.0,46114,49220,7726,133112,887
225727,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ""",Малое предприятие,1024001182391,4027055565,40 - Калужская область,г Калуга,2016-01-08,Нет,Нет,Нет,23.0,24754,36442,34542,23009,20146
225729,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ""",Малое предприятие,1060207005605,207006055,02 - Республика Башкортостан,г Уфа,2016-01-08,Нет,Нет,Нет,19.0,191990,128616,44122,186728,1086951
225780,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ""",Малое предприятие,1121690065386,1633608077,16 - Республика Татарстан (Татарстан),,2016-01-08,Нет,Нет,Нет,23.0,170978,148680,59046,182309,271748
225832,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ""",Малое предприятие,1176313050319,6315018549,63 - Самарская область,г Самара,2017-10-07,Нет,Нет,Нет,35.0,143507,144980,55934,111516,162741
225841,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ""",Малое предприятие,1135038004903,5038099044,50 - Московская область,г Химки,2016-01-08,Нет,Нет,Нет,3.0,56406,1260,0,,
