№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,gainSum2019,gainSum2020,gainSum2021,gainSum2022,gainSum2023
20,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Малое предприятие,1025004907080,5038038838,50 - Московская область,,2016-01-08,Нет,Нет,Нет,36.0,341732,303726,184044,118633,108966
25,"""ЛАВИНА"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Малое предприятие,1035010952624,5027064258,50 - Московская область,г Люберцы,2016-01-08,Нет,Нет,Нет,40.0,571571,434461,249375,253804,594302
52,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Среднее предприятие,1025007270551,5027006369,50 - Московская область,г Дзержинский,2016-01-08,Да,Нет,Нет,201.0,651543,566014,584219,683396,1565001
4651,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""2МЕН ГРУПП ДЕВЕЛОПМЕНТ""",Малое предприятие,1067746424899,7701651356,72 - Тюменская область,г Тюмень,2017-10-08,Да,Нет,Нет,19.0,152321,119682,64999,85623,74252
4653,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",Малое предприятие,1021400692048,1414006922,77 - г.Москва,,2017-10-08,Да,Нет,Нет,35.0,427117,397084,685315,938983,1002486
4668,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",Малое предприятие,1043301806415,3327332190,33 - Владимирская область,г Владимир,2022-10-08,Да,Нет,Нет,52.0,356631,569861,584483,458713,1031417
4674,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКС""",Малое предприятие,1027807999988,7816061297,78 - г.Санкт-Петербург,,2022-10-06,Да,Нет,Нет,21.0,112328,198107,179874,61921,116186
4677,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА""",Малое предприятие,1023500875870,3525048992,35 - Вологодская область,г Вологда,2017-10-08,Нет,Нет,Нет,14.0,111979,135363,174460,332866,1838703
4678,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНОЕ СТРОИТЕЛЬНОЕ ОБЩЕСТВО №1""",Малое предприятие,1022500971800,2515000365,25 - Приморский край,,2017-10-08,Да,Нет,Нет,33.0,75979,92320,109061,210423,191358
4681,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1""",Малое предприятие,1023101533883,3101000612,31 - Белгородская область,г Алексеевка,2017-10-08,Да,Нет,Нет,20.0,108680,8389,10052,11618,120415
4693,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМБЕР-СТРОЙСЕРВИС""",Малое предприятие,1025900534406,5902126804,59 - Пермский край,г Пермь,2017-10-08,Да,Нет,Нет,30.0,37346,19949,43676,52842,67038
4694,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС""",Малое предприятие,1020501386443,523005733,05 - Республика Дагестан,,2021-10-10,Нет,Нет,Нет,34.0,,147175,64542,188416,29865
4710,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРОВАНА""",Малое предприятие,1165009053802,5009106346,50 - Московская область,г Домодедово,2023-10-07,Нет,Нет,Нет,,,,,,
4712,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ""",Среднее предприятие,1107746340745,7724745755,77 - г.Москва,,2021-10-07,Да,Нет,Нет,67.0,2520955,1644191,257980,293310,1129443
4713,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСИ""",Малое предприятие,1030500602813,504007693,05 - Республика Дагестан,,2022-10-11,Нет,Нет,Нет,29.0,589234,28257,33431,17729,546027
4719,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ""",Малое предприятие,1022900534700,2901030646,29 - Архангельская область,г Архангельск,2017-10-08,Да,Нет,Нет,136.0,139146,166221,1030543,1801626,750704
4733,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАВАРСКИЙ ДОМ""",Среднее предприятие,1037739289136,7709008852,77 - г.Москва,,2023-10-07,Да,Нет,Нет,205.0,1722945,2382823,2869295,975011,1152402
4737,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЙКАЛСТРОЙГРАД""",Среднее предприятие,1133850019588,3811167535,38 - Иркутская область,г Иркутск,2023-10-07,Нет,Нет,Нет,208.0,230259,501709,394243,259740,354342
4738,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",Малое предприятие,1037821032061,7810255553,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,11.0,277069,107081,117439,58676,316038
4748,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЕЛОМОРСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""""",Малое предприятие,1021000977315,1011005108,10 - Республика Карелия,г Беломорск,2017-10-08,Нет,Нет,Нет,54.0,88724,99834,111822,96815,95063
4750,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЕРДСКИЙ СТРОИТЕЛЬНЫЙ ТРЕСТ""",Среднее предприятие,1025404720681,5445005958,54 - Новосибирская область,г Бердск,2022-10-07,Да,Нет,Нет,77.0,1980270,2730958,1881629,1593147,3135029
4757,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЛДИНГ""",Малое предприятие,1062310006351,2310111297,23 - Краснодарский край,г Краснодар,2017-10-08,Нет,Нет,Нет,15.0,611783,799285,363535,15542,211510
4764,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ ИНСТИТУТ ""БРЯНСКГИПРОВОДХОЗ""",Малое предприятие,1053244000809,3250057750,32 - Брянская область,г Брянск,2017-10-08,Да,Нет,Нет,8.0,172753,208585,3423,26456,6556
4765,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БУДЕННОВСКОЕ МОНТАЖНОЕ УПРАВЛЕНИЕ""",Малое предприятие,1022603222707,2624022344,26 - Ставропольский край,г Буденновск,2017-10-08,Да,Нет,Нет,2.0,47150,55468,61607,10362,23199
4779,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕСТ КОНСТРАКШН""",Среднее предприятие,1067746666998,7703595570,77 - г.Москва,,2019-10-08,Нет,Нет,Нет,55.0,358129,948218,1043523,1258495,428084
4785,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИСКО""",Малое предприятие,1027807562210,7813059155,78 - г.Санкт-Петербург,,2021-10-07,Да,Нет,Нет,0.0,1212912,15682,,,
4786,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИШ ХОУМ ДЕВЕЛОПМЕНТ""",Малое предприятие,1227700020085,7743373485,77 - г.Москва,,2024-10-01,Нет,Нет,Нет,4.0,,,,199800,69256
4787,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЛАДИМИР-СОЮЗПРОММОНТАЖ""",Малое предприятие,1023301463536,3328412522,33 - Владимирская область,г Владимир,2017-10-08,Да,Нет,Нет,64.0,147611,117381,158481,249303,593130
4801,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛС-СЕРВИС""",Малое предприятие,1027739927852,7728135831,77 - г.Москва,,2022-10-09,Нет,Нет,Нет,98.0,37684,36363,406098,587933,1180035
4802,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОРОНЕЖСТРОЙ""",Малое предприятие,1033600002204,3664004054,36 - Воронежская область,г Воронеж,2017-10-08,Нет,Нет,Нет,57.0,95663,138029,142942,189362,232773
4805,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНАЯ СИБИРЬ""",Малое предприятие,1022402472674,2465006513,24 - Красноярский край,г Красноярск,2017-10-08,Да,Нет,Нет,24.0,40331,51419,76412,64565,82129
4823,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ФИРМА ""КОНСОРЦИУМ ""ЗАПАДНЫЙ УРАЛ""",Малое предприятие,1025900532008,5902115094,59 - Пермский край,г Пермь,2017-10-08,Да,Нет,Нет,47.0,757338,216861,97279,165505,112635
4824,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДЧИК""",Малое предприятие,1022502119342,2539030721,25 - Приморский край,г Владивосток,2017-10-08,Да,Нет,Нет,23.0,135995,220932,338042,364002,132133
4836,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВЗАРУБЕЖСТРОЙ""",Среднее предприятие,1087746976239,7704697207,77 - г.Москва,,2021-10-07,Да,Нет,Нет,0.0,1329743,384885,99755,0,
4843,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВУКС""",Малое предприятие,1027700355165,5000000218,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,15.0,431795,1076863,508680,136519,59414
4858,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАЖДАНСТРОЙ""",Малое предприятие,1026701420877,6731010189,67 - Смоленская область,г Смоленск,2022-10-09,Нет,Нет,Нет,56.0,63579,58027,47954,52547,23332
4859,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАНИ ГОРОДА""",Среднее предприятие,1225000056270,5044125655,77 - г.Москва,,2023-10-07,Нет,Нет,Нет,47.0,,,,1943311,3724263
4874,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАГЕСТАНСТРОЙ""",Малое предприятие,1020502526626,541001957,05 - Республика Дагестан,г Махачкала,2017-10-08,Нет,Нет,Нет,34.0,160233,557724,748898,343903,420870
4875,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЕР СТРОЙ""",Малое предприятие,1217700121980,7743356592,77 - г.Москва,,2021-10-04,Нет,Нет,Нет,1.0,,,2071,193778,
4877,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬМОРМОНТАЖ-ВОСТОЧНЫЙ""",Малое предприятие,1022500703818,2508045333,25 - Приморский край,г Находка,2017-10-08,Нет,Нет,Нет,42.0,176841,136057,125292,34425,55704
4880,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАМАЛА""",Малое предприятие,1027739656339,7702066809,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,12.0,40901,83507,77319,23457,67046
4892,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДЖИТЕХ""",Малое предприятие,1127746055470,7714863020,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,12.0,29628,11203,39960,198385,69055
4894,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАПАЗОН""",Малое предприятие,1027807560967,7814027004,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,24.0,101643,329710,186651,399609,226298
4898,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИРЕКЦИЯ ОБЪЕКТОВ РЕКОНСТРУКЦИИ И СТРОИТЕЛЬСТВА""",Среднее предприятие,1026300968540,6315336069,63 - Самарская область,г Самара,2017-10-08,Нет,Нет,Нет,15.0,1528437,1364708,1200975,1036535,312052
4901,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОЛГОПРУДНЕНСКОЕ УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""",Малое предприятие,1025001200762,5025012896,50 - Московская область,г Долгопрудный,2017-10-08,Нет,Нет,Нет,13.0,562692,21339,937,4312,1353
4906,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНАЯ КОМПАНИЯ""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",Малое предприятие,1023101658425,3123040930,31 - Белгородская область,г Белгород,2017-10-08,Нет,Нет,Нет,32.0,77484,58083,149060,4987,222337
4907,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ № 1""",Малое предприятие,1027739273847,7714046959,77 - г.Москва,,2022-10-07,Да,Нет,Нет,,7222840,2514668,462493,51080,174384
4908,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №2""",Малое предприятие,1025204417160,5263001814,52 - Нижегородская область,г Нижний Новгород,2017-10-08,Нет,Нет,Нет,38.0,314157,95542,117318,49923,88392
4916,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНЫЙ ЦЕНТР ВНЕДРЕНИЯ""",Малое предприятие,1026402204333,6450042805,64 - Саратовская область,г Саратов,2023-10-07,Да,Нет,Нет,6.0,18641,6611,3493,104839,225684
4918,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСК""",Малое предприятие,1022402648674,2466000401,24 - Красноярский край,г Красноярск,2017-10-08,Нет,Нет,Нет,47.0,281648,106513,54855,50728,37878
4919,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСУ-1""",Среднее предприятие,1023700546407,3728001189,77 - г.Москва,,2023-10-07,Да,Нет,Нет,128.0,749274,1043490,1919997,1624946,1192868
4920,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСУ-3""",Малое предприятие,1026002142077,6013000288,60 - Псковская область,г Остров,2017-10-08,Да,Нет,Нет,16.0,18947,8375,8585,14397,8923
4924,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКБ-ОТДЕЛСТРОЙ""",Среднее предприятие,1076670001682,6670160730,66 - Свердловская область,г Екатеринбург,2017-10-08,Нет,Нет,Нет,53.0,1110226,1006929,1179011,1150122,1214657
4929,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЗДРИНСКАЯ ПМК""",Малое предприятие,1024000598797,4006002065,40 - Калужская область,г. Жиздра,2017-10-08,Нет,Нет,Нет,16.0,13462,11401,13986,12262,18633
4936,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЛТРАНС""",Малое предприятие,1127746276041,7733799210,76 - Ярославская область,г Ярославль,2017-10-08,Да,Нет,Нет,76.0,100867,148214,135884,163760,162470
4942,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАРЕЧЬЕ""",Малое предприятие,1021603884785,1653008582,16 - Республика Татарстан (Татарстан),г Казань,2023-10-07,Да,Нет,Нет,16.0,29779,19788,23002,19784,98207
4952,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗОНАЛЬНОЕ""",Малое предприятие,1026501180947,6517004027,65 - Сахалинская область,,2017-10-08,Да,Нет,Нет,7.0,124439,72830,65038,24541,23187
4953,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИМПУЛЬС""",Малое предприятие,1022500616104,2528000926,25 - Приморский край,,2017-10-08,Да,Нет,Нет,32.0,38038,53831,39036,48581,41504
4967,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНВЕСТСТРОЙГАРАНТ""",Малое предприятие,1047796125112,7705585440,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,17.0,134136,62065,46126,133789,126884
4978,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНЖСПЕЦСТРОЙМОНТАЖ""",Малое предприятие,1117746654376,7720725959,77 - г.Москва,,2019-10-08,Нет,Нет,Нет,7.0,38771,29226,13064,26256,0
4979,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИННОВАЦИОННОЕ УПРАВЛЕНИЕ СТРОИТЕЛЬСТВОМ""",Малое предприятие,1037739552795,7719243661,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,23.0,430904,72498,85761,55908,67865
4994,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНЭФКОР""",Малое предприятие,1027700462162,7720019008,77 - г.Москва,,2019-10-11,Да,Нет,Нет,29.0,95302,155205,52340,41916,79957
5003,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЛИНИНГРАДАГРОСТРОЙ""",Малое предприятие,1023901012772,3906034170,39 - Калининградская область,г Калининград,2017-10-08,Да,Нет,Нет,27.0,12953,11697,13005,14222,14316
5011,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО И РЕКОНСТРУКЦИЯ""",Малое предприятие,1167746813299,7714406538,77 - г.Москва,,2018-10-08,Нет,Нет,Нет,87.0,515041,557154,366471,433034,249511
5018,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КЕДР""",Малое предприятие,1025501993175,5534008911,55 - Омская область,,2017-10-08,Нет,Нет,Нет,20.0,35703,36565,35662,34223,24232
5020,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КЁНИГ-ХОЛЬЦ""",Малое предприятие,1023902053251,3903008430,39 - Калининградская область,г Светлогорск,2017-10-08,Да,Нет,Нет,21.0,47670,33113,21135,79198,52083
5024,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КИРОВСКИЙ ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ""",Среднее предприятие,1024000897040,4023002467,40 - Калужская область,г Киров,2017-10-08,Да,Нет,Нет,208.0,389066,550399,470880,393791,550004
5037,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ ""СВЯЗЬ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",Малое предприятие,1027719011924,7719258347,77 - г.Москва,,2018-10-08,Да,Нет,Нет,5.0,274205,136946,78811,53920,9594
5038,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ СПЕЦСТРОЙРЕКОНСТРУКЦИЯ""",Малое предприятие,1107746371380,7729655368,77 - г.Москва,,2022-10-09,Да,Нет,Нет,19.0,1434170,125195,146575,8314,
5044,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПЛЕКСНЫЕ СТРОИТЕЛЬНЫЕ РЕШЕНИЯ""",Малое предприятие,1097604007445,7604156684,76 - Ярославская область,г Ярославль,2017-10-08,Нет,Нет,Нет,19.0,100921,139603,113380,81338,0
5048,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНСАЛТИНГСТРОЙИНВЕСТ""",Малое предприятие,1137017014155,7017334036,70 - Томская область,г Томск,2017-10-08,Да,Нет,Нет,146.0,592553,343965,751496,1120706,1766557
5049,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНТИ""",Среднее предприятие,1157746740920,9701004970,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,74.0,948300,933538,939184,1124718,1534289
5051,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""ЦЭМ""",Малое предприятие,1026200955494,6228038066,62 - Рязанская область,г Рязань,2017-10-08,Нет,Нет,Нет,8.0,102887,87507,385223,247949,47267
5056,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТТЕДЖ-ИНДУСТРИЯ""",Малое предприятие,1023601232995,3627008639,36 - Воронежская область,г Россошь,2017-10-08,Да,Нет,Нет,19.0,411353,365100,177863,202177,375932
5057,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОШЕЛЕВ-ПРОЕКТ""",Малое предприятие,1026300770099,6312040240,63 - Самарская область,г Самара,2019-10-08,Нет,Нет,Нет,4.0,357300,29110,183001,94504,16936
5060,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОДАРСКИЙ ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ №1""",Среднее предприятие,1022301812785,2311011320,23 - Краснодарский край,г Краснодар,2023-10-07,Нет,Нет,Нет,11.0,1649572,2636818,2385238,1652665,1277064
5062,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОПОЛЯНСКАЯ ПТИЦЕФАБРИКА""",Малое предприятие,1025003520057,5029014809,50 - Московская область,г Мытищи,2023-10-10,Да,Нет,Нет,29.0,57292,61548,58821,66140,83324
5072,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМСТРОЙ""",Малое предприятие,1149102093645,9102046280,91 - Республика Крым,г Симферополь,2017-10-08,Нет,Нет,Нет,26.0,130538,119857,49851,48228,49610
5076,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУРОРТСТРОЙ""",Малое предприятие,1022300768270,2304016990,23 - Краснодарский край,г Геленджик,2017-10-08,Да,Нет,Нет,71.0,415110,535938,372993,404889,718195
5094,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАВР-БЕЛГОРОД""",Малое предприятие,1083128000890,3128065293,31 - Белгородская область,г Старый Оскол,2017-10-08,Нет,Нет,Нет,14.0,162644,123655,163419,180648,140260
5095,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТОСТРОЙ""",Малое предприятие,1027402053755,7414000992,74 - Челябинская область,г Магнитогорск,2017-10-08,Да,Нет,Нет,2.0,94131,73292,115932,90819,121737
5099,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАХАЧКАЛИНСКИЙ ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ""",Малое предприятие,1020502528397,541000015,05 - Республика Дагестан,г Махачкала,2019-10-08,Нет,Нет,Нет,29.0,9327,9884,24887,69215,46626
5100,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШОПТТОРГ""",Малое предприятие,1023601580001,3663001942,36 - Воронежская область,г Воронеж,2017-10-08,Нет,Нет,Нет,17.0,406950,365397,688247,808204,1047281
5111,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ""",Малое предприятие,1022101830288,2108002261,21 - Чувашская Республика - Чувашия,,2017-10-08,Нет,Нет,Нет,11.0,14610,6217,0,,24395
5118,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕХЗАВОД""",Малое предприятие,1107847380520,7710478789,77 - г.Москва,,2020-10-08,Нет,Нет,Нет,14.0,159404,133189,156494,172025,186438
5132,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МНЦЭС-КАПСТРОЙ""",Малое предприятие,1077760841487,7736565404,50 - Московская область,ГОРОД ИВАНТЕЕВКА,2023-10-12,Нет,Нет,Нет,11.0,300873,247563,265963,253642,246777
5133,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОГОЙТУЙСКАЯ МСО""",Малое предприятие,1028002329926,8003021109,75 - Забайкальский край,,2017-10-08,Нет,Нет,Нет,15.0,8782,7140,8297,7966,9396
5134,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЖГИНСКОЕ СТРОИТЕЛЬНОЕ ОБЪЕДИНЕНИЕ""",Среднее предприятие,1021801125290,1830000270,18 - Удмуртская Республика,г Можга,2023-10-07,Да,Нет,Нет,220.0,441410,490196,418755,432226,316699
5135,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЗДОКСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №3""",Малое предприятие,1021500919549,1510008048,15 - Республика Северная Осетия - Алания,г Моздок,2017-10-08,Да,Нет,Нет,50.0,201343,88450,103870,193524,89893
5140,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТ""",Малое предприятие,1025003519023,5029022704,50 - Московская область,г Мытищи,2023-10-12,Нет,Нет,Нет,12.0,110913,53297,187792,34633,45489
5143,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТСТРОЙ""",Среднее предприятие,1027809200627,7830001839,78 - г.Санкт-Петербург,,2018-10-08,Да,Нет,Нет,13.0,1259045,1286011,1662343,978274,1076840
5153,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСЕЛЬСТРОЙ-18""",Малое предприятие,1025000844329,5004000089,50 - Московская область,г Волоколамск,2020-10-12,Нет,Нет,Нет,24.0,43885,28729,23494,24407,22694
5156,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСТРОЙ №5""",Малое предприятие,1025000922176,5005001110,50 - Московская область,,2017-10-08,Да,Нет,Нет,37.0,58510,37068,59037,55255,91728
5159,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСПРОМСТРОЙИНЖИНИРИНГ""",Малое предприятие,1027739018944,7704040517,77 - г.Москва,,2021-10-03,Нет,Нет,Нет,17.0,198899,1198565,1098249,330035,1246657
5160,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОССТРОЙ""",Среднее предприятие,1037739587159,7731178063,77 - г.Москва,,2021-10-11,Да,Нет,Нет,99.0,191876,506636,600141,1411818,286618
5163,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСТИНЖСТРОЙ""",Малое предприятие,1037739835726,7709502155,50 - Московская область,г Мытищи,2018-10-08,Нет,Нет,Нет,19.0,125646,102642,59088,116564,100202
5168,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МР-ЦЕНТР""",Малое предприятие,1227700524831,9715426146,77 - г.Москва,,2023-10-07,Нет,Нет,Нет,1.0,,,,313184,1717371
5170,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУСЛЮМОВСКАЯ МСО""",Малое предприятие,1041634600193,1629003431,16 - Республика Татарстан (Татарстан),,2017-10-08,Нет,Нет,Нет,52.0,43040,45985,32679,31074,64277
5174,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""СКАД""",Малое предприятие,1027739121563,7726065829,77 - г.Москва,,2017-10-08,Да,Нет,Нет,66.0,441104,295518,304823,265331,97619
5181,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НВБ ЭНЕРГИЯ""",Малое предприятие,1107746029379,7719741321,77 - г.Москва,,2017-10-08,Да,Нет,Нет,66.0,630226,1169019,304886,1089389,1227501
5184,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ПРОЕКТ""",Малое предприятие,1027801564196,7802148357,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,50.0,727461,451530,290627,531607,731812
5192,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЕХИМРЕМОНТ-НН""",Малое предприятие,1105260008127,5260280790,52 - Нижегородская область,г Нижний Новгород,2017-10-08,Да,Нет,Нет,94.0,102469,42144,78474,180012,168195
5195,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИИПРОМ""",Малое предприятие,1127746056404,7718874505,77 - г.Москва,,2017-10-08,Да,Нет,Нет,44.0,212121,140531,339959,254038,2242269
5199,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВАТОР""",Малое предприятие,1037700012349,7710023855,77 - г.Москва,,2017-10-08,Да,Нет,Нет,28.0,66695,124817,100970,149114,140296
5200,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВАЯ ТЕХНОЛОГИЯ""",Малое предприятие,1137232063100,7202255830,72 - Тюменская область,г Тюмень,2017-10-08,Да,Нет,Нет,98.0,138036,561894,258303,211486,764552
