№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,id
20,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Малое предприятие,1025004907080,5038038838,50 - Московская область,,2016-01-08,Нет,Нет,Нет,36.0,5872486
52,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Среднее предприятие,1025007270551,5027006369,50 - Московская область,г Дзержинский,2016-01-08,Да,Нет,Нет,201.0,6900709
4653,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",Малое предприятие,1021400692048,1414006922,77 - г.Москва,,2017-10-08,Да,Нет,Нет,35.0,4980670
4668,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",Малое предприятие,1043301806415,3327332190,33 - Владимирская область,г Владимир,2022-10-08,Да,Нет,Нет,52.0,3867230
4674,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКС""",Малое предприятие,1027807999988,7816061297,78 - г.Санкт-Петербург,,2022-10-06,Да,Нет,Нет,21.0,7041303
4677,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА""",Малое предприятие,1023500875870,3525048992,35 - Вологодская область,г Вологда,2017-10-08,Нет,Нет,Нет,14.0,6840082
4681,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1""",Малое предприятие,1023101533883,3101000612,31 - Белгородская область,г Алексеевка,2017-10-08,Да,Нет,Нет,20.0,7244164
4693,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМБЕР-СТРОЙСЕРВИС""",Малое предприятие,1025900534406,5902126804,59 - Пермский край,г Пермь,2017-10-08,Да,Нет,Нет,30.0,2608351
4694,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС""",Малое предприятие,1020501386443,523005733,05 - Республика Дагестан,,2021-10-10,Нет,Нет,Нет,34.0,4659067
4710,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРОВАНА""",Малое предприятие,1165009053802,5009106346,50 - Московская область,г Домодедово,2023-10-07,Нет,Нет,Нет,,
4712,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ""",Среднее предприятие,1107746340745,7724745755,77 - г.Москва,,2021-10-07,Да,Нет,Нет,67.0,2083796
4713,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСИ""",Малое предприятие,1030500602813,504007693,05 - Республика Дагестан,,2022-10-11,Нет,Нет,Нет,29.0,5591507
4719,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ""",Малое предприятие,1022900534700,2901030646,29 - Архангельская область,г Архангельск,2017-10-08,Да,Нет,Нет,136.0,1410906
4733,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАВАРСКИЙ ДОМ""",Среднее предприятие,1037739289136,7709008852,77 - г.Москва,,2023-10-07,Да,Нет,Нет,205.0,6462814
4737,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЙКАЛСТРОЙГРАД""",Среднее предприятие,1133850019588,3811167535,38 - Иркутская область,г Иркутск,2023-10-07,Нет,Нет,Нет,208.0,7906828
4738,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",Малое предприятие,1037821032061,7810255553,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,11.0,5028116
4748,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЕЛОМОРСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""""",Малое предприятие,1021000977315,1011005108,10 - Республика Карелия,г Беломорск,2017-10-08,Нет,Нет,Нет,54.0,91738
4757,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЛДИНГ""",Малое предприятие,1062310006351,2310111297,23 - Краснодарский край,г Краснодар,2017-10-08,Нет,Нет,Нет,15.0,6320206
4764,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ ИНСТИТУТ ""БРЯНСКГИПРОВОДХОЗ""",Малое предприятие,1053244000809,3250057750,32 - Брянская область,г Брянск,2017-10-08,Да,Нет,Нет,8.0,611402
4779,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕСТ КОНСТРАКШН""",Среднее предприятие,1067746666998,7703595570,77 - г.Москва,,2019-10-08,Нет,Нет,Нет,55.0,5052529
4785,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИСКО""",Малое предприятие,1027807562210,7813059155,78 - г.Санкт-Петербург,,2021-10-07,Да,Нет,Нет,0.0,7051667
4786,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИШ ХОУМ ДЕВЕЛОПМЕНТ""",Малое предприятие,1227700020085,7743373485,77 - г.Москва,,2024-10-01,Нет,Нет,Нет,4.0,11757735
4787,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЛАДИМИР-СОЮЗПРОММОНТАЖ""",Малое предприятие,1023301463536,3328412522,33 - Владимирская область,г Владимир,2017-10-08,Да,Нет,Нет,64.0,5665425
4801,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛС-СЕРВИС""",Малое предприятие,1027739927852,7728135831,77 - г.Москва,,2022-10-09,Нет,Нет,Нет,98.0,7115565
4805,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНАЯ СИБИРЬ""",Малое предприятие,1022402472674,2465006513,24 - Красноярский край,г Красноярск,2017-10-08,Да,Нет,Нет,24.0,5525079
4823,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ФИРМА ""КОНСОРЦИУМ ""ЗАПАДНЫЙ УРАЛ""",Малое предприятие,1025900532008,5902115094,59 - Пермский край,г Пермь,2017-10-08,Да,Нет,Нет,47.0,2606257
4824,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДЧИК""",Малое предприятие,1022502119342,2539030721,25 - Приморский край,г Владивосток,2017-10-08,Да,Нет,Нет,23.0,5362511
4836,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВЗАРУБЕЖСТРОЙ""",Среднее предприятие,1087746976239,7704697207,77 - г.Москва,,2021-10-07,Да,Нет,Нет,0.0,5617920
4843,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВУКС""",Малое предприятие,1027700355165,5000000218,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,15.0,4619380
4858,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАЖДАНСТРОЙ""",Малое предприятие,1026701420877,6731010189,67 - Смоленская область,г Смоленск,2022-10-09,Нет,Нет,Нет,56.0,3397072
4859,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАНИ ГОРОДА""",Среднее предприятие,1225000056270,5044125655,77 - г.Москва,,2023-10-07,Нет,Нет,Нет,47.0,11863703
4875,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЕР СТРОЙ""",Малое предприятие,1217700121980,7743356592,77 - г.Москва,,2021-10-04,Нет,Нет,Нет,1.0,11547532
4877,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬМОРМОНТАЖ-ВОСТОЧНЫЙ""",Малое предприятие,1022500703818,2508045333,25 - Приморский край,г Находка,2017-10-08,Нет,Нет,Нет,42.0,5476291
4894,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАПАЗОН""",Малое предприятие,1027807560967,7814027004,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,24.0,7051564
4901,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОЛГОПРУДНЕНСКОЕ УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""",Малое предприятие,1025001200762,5025012896,50 - Московская область,г Долгопрудный,2017-10-08,Нет,Нет,Нет,13.0,5950195
4906,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНАЯ КОМПАНИЯ""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",Малое предприятие,1023101658425,3123040930,31 - Белгородская область,г Белгород,2017-10-08,Нет,Нет,Нет,32.0,1105465
4907,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ № 1""",Малое предприятие,1027739273847,7714046959,77 - г.Москва,,2022-10-07,Да,Нет,Нет,,4136308
4908,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №2""",Малое предприятие,1025204417160,5263001814,52 - Нижегородская область,г Нижний Новгород,2017-10-08,Нет,Нет,Нет,38.0,2372648
4916,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНЫЙ ЦЕНТР ВНЕДРЕНИЯ""",Малое предприятие,1026402204333,6450042805,64 - Саратовская область,г Саратов,2023-10-07,Да,Нет,Нет,6.0,6277778
4918,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСК""",Малое предприятие,1022402648674,2466000401,24 - Красноярский край,г Красноярск,2017-10-08,Нет,Нет,Нет,47.0,5466240
4920,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСУ-3""",Малое предприятие,1026002142077,6013000288,60 - Псковская область,г Остров,2017-10-08,Да,Нет,Нет,16.0,6097592
4924,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКБ-ОТДЕЛСТРОЙ""",Среднее предприятие,1076670001682,6670160730,66 - Свердловская область,г Екатеринбург,2017-10-08,Нет,Нет,Нет,53.0,3400351
4929,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЗДРИНСКАЯ ПМК""",Малое предприятие,1024000598797,4006002065,40 - Калужская область,г. Жиздра,2017-10-08,Нет,Нет,Нет,16.0,5793466
4936,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЛТРАНС""",Малое предприятие,1127746276041,7733799210,76 - Ярославская область,г Ярославль,2017-10-08,Да,Нет,Нет,76.0,1608392
4942,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАРЕЧЬЕ""",Малое предприятие,1021603884785,1653008582,16 - Республика Татарстан (Татарстан),г Казань,2023-10-07,Да,Нет,Нет,16.0,6725963
4952,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗОНАЛЬНОЕ""",Малое предприятие,1026501180947,6517004027,65 - Сахалинская область,,2017-10-08,Да,Нет,Нет,7.0,7006096
4953,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИМПУЛЬС""",Малое предприятие,1022500616104,2528000926,25 - Приморский край,,2017-10-08,Да,Нет,Нет,32.0,5483298
4967,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНВЕСТСТРОЙГАРАНТ""",Малое предприятие,1047796125112,7705585440,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,17.0,4664933
4979,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИННОВАЦИОННОЕ УПРАВЛЕНИЕ СТРОИТЕЛЬСТВОМ""",Малое предприятие,1037739552795,7719243661,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,23.0,5334681
4994,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНЭФКОР""",Малое предприятие,1027700462162,7720019008,77 - г.Москва,,2019-10-11,Да,Нет,Нет,29.0,7142336
5003,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЛИНИНГРАДАГРОСТРОЙ""",Малое предприятие,1023901012772,3906034170,39 - Калининградская область,г Калининград,2017-10-08,Да,Нет,Нет,27.0,5821596
5011,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО И РЕКОНСТРУКЦИЯ""",Малое предприятие,1167746813299,7714406538,77 - г.Москва,,2018-10-08,Нет,Нет,Нет,87.0,9894816
5020,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КЁНИГ-ХОЛЬЦ""",Малое предприятие,1023902053251,3903008430,39 - Калининградская область,г Светлогорск,2017-10-08,Да,Нет,Нет,21.0,5832296
5037,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ ""СВЯЗЬ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",Малое предприятие,1027719011924,7719258347,77 - г.Москва,,2018-10-08,Да,Нет,Нет,5.0,4134028
5038,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ СПЕЦСТРОЙРЕКОНСТРУКЦИЯ""",Малое предприятие,1107746371380,7729655368,77 - г.Москва,,2022-10-09,Да,Нет,Нет,19.0,862851
5044,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПЛЕКСНЫЕ СТРОИТЕЛЬНЫЕ РЕШЕНИЯ""",Малое предприятие,1097604007445,7604156684,76 - Ярославская область,г Ярославль,2017-10-08,Нет,Нет,Нет,19.0,4344344
5048,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНСАЛТИНГСТРОЙИНВЕСТ""",Малое предприятие,1137017014155,7017334036,70 - Томская область,г Томск,2017-10-08,Да,Нет,Нет,146.0,7980233
5049,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНТИ""",Среднее предприятие,1157746740920,9701004970,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,74.0,9359140
5051,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""ЦЭМ""",Малое предприятие,1026200955494,6228038066,62 - Рязанская область,г Рязань,2017-10-08,Нет,Нет,Нет,8.0,3016871
5056,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТТЕДЖ-ИНДУСТРИЯ""",Малое предприятие,1023601232995,3627008639,36 - Воронежская область,г Россошь,2017-10-08,Да,Нет,Нет,19.0,6825380
5057,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОШЕЛЕВ-ПРОЕКТ""",Малое предприятие,1026300770099,6312040240,63 - Самарская область,г Самара,2019-10-08,Нет,Нет,Нет,4.0,3090099
5060,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОДАРСКИЙ ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ №1""",Среднее предприятие,1022301812785,2311011320,23 - Краснодарский край,г Краснодар,2023-10-07,Нет,Нет,Нет,11.0,6755700
5062,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОПОЛЯНСКАЯ ПТИЦЕФАБРИКА""",Малое предприятие,1025003520057,5029014809,50 - Московская область,г Мытищи,2023-10-10,Да,Нет,Нет,29.0,5884142
5072,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМСТРОЙ""",Малое предприятие,1149102093645,9102046280,91 - Республика Крым,г Симферополь,2017-10-08,Нет,Нет,Нет,26.0,8963993
5076,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУРОРТСТРОЙ""",Малое предприятие,1022300768270,2304016990,23 - Краснодарский край,г Геленджик,2017-10-08,Да,Нет,Нет,71.0,6773791
5094,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАВР-БЕЛГОРОД""",Малое предприятие,1083128000890,3128065293,31 - Белгородская область,г Старый Оскол,2017-10-08,Нет,Нет,Нет,14.0,3785890
5095,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТОСТРОЙ""",Малое предприятие,1027402053755,7414000992,74 - Челябинская область,г Магнитогорск,2017-10-08,Да,Нет,Нет,2.0,3719625
5099,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАХАЧКАЛИНСКИЙ ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ""",Малое предприятие,1020502528397,541000015,05 - Республика Дагестан,г Махачкала,2019-10-08,Нет,Нет,Нет,29.0,6633437
5100,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШОПТТОРГ""",Малое предприятие,1023601580001,3663001942,36 - Воронежская область,г Воронеж,2017-10-08,Нет,Нет,Нет,17.0,1778200
5111,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ""",Малое предприятие,1022101830288,2108002261,21 - Чувашская Республика - Чувашия,,2017-10-08,Нет,Нет,Нет,11.0,5331882
5118,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕХЗАВОД""",Малое предприятие,1107847380520,7710478789,77 - г.Москва,,2020-10-08,Нет,Нет,Нет,14.0,3985184
5133,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОГОЙТУЙСКАЯ МСО""",Малое предприятие,1028002329926,8003021109,75 - Забайкальский край,,2017-10-08,Нет,Нет,Нет,15.0,7081597
5134,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЖГИНСКОЕ СТРОИТЕЛЬНОЕ ОБЪЕДИНЕНИЕ""",Среднее предприятие,1021801125290,1830000270,18 - Удмуртская Республика,г Можга,2023-10-07,Да,Нет,Нет,220.0,576630
5135,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЗДОКСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №3""",Малое предприятие,1021500919549,1510008048,15 - Республика Северная Осетия - Алания,г Моздок,2017-10-08,Да,Нет,Нет,50.0,6737252
5140,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТ""",Малое предприятие,1025003519023,5029022704,50 - Московская область,г Мытищи,2023-10-12,Нет,Нет,Нет,12.0,5883825
5143,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТСТРОЙ""",Среднее предприятие,1027809200627,7830001839,78 - г.Санкт-Петербург,,2018-10-08,Да,Нет,Нет,13.0,7050133
5153,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСЕЛЬСТРОЙ-18""",Малое предприятие,1025000844329,5004000089,50 - Московская область,г Волоколамск,2020-10-12,Нет,Нет,Нет,24.0,5945762
5156,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСТРОЙ №5""",Малое предприятие,1025000922176,5005001110,50 - Московская область,,2017-10-08,Да,Нет,Нет,37.0,5949391
5159,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСПРОМСТРОЙИНЖИНИРИНГ""",Малое предприятие,1027739018944,7704040517,77 - г.Москва,,2021-10-03,Нет,Нет,Нет,17.0,4411704
5163,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСТИНЖСТРОЙ""",Малое предприятие,1037739835726,7709502155,50 - Московская область,г Мытищи,2018-10-08,Нет,Нет,Нет,19.0,6662557
5168,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МР-ЦЕНТР""",Малое предприятие,1227700524831,9715426146,77 - г.Москва,,2023-10-07,Нет,Нет,Нет,1.0,11928206
5170,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУСЛЮМОВСКАЯ МСО""",Малое предприятие,1041634600193,1629003431,16 - Республика Татарстан (Татарстан),,2017-10-08,Нет,Нет,Нет,52.0,3148373
5174,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""СКАД""",Малое предприятие,1027739121563,7726065829,77 - г.Москва,,2017-10-08,Да,Нет,Нет,66.0,6680818
5181,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НВБ ЭНЕРГИЯ""",Малое предприятие,1107746029379,7719741321,77 - г.Москва,,2017-10-08,Да,Нет,Нет,66.0,2351152
5184,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ПРОЕКТ""",Малое предприятие,1027801564196,7802148357,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,50.0,6498776
5195,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИИПРОМ""",Малое предприятие,1127746056404,7718874505,77 - г.Москва,,2017-10-08,Да,Нет,Нет,44.0,2397798
5200,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВАЯ ТЕХНОЛОГИЯ""",Малое предприятие,1137232063100,7202255830,72 - Тюменская область,г Тюмень,2017-10-08,Да,Нет,Нет,98.0,8186621
5212,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРДГРАД""",Малое предприятие,1089847395791,7813427641,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,85.0,5042352
5222,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ ТРЕСТ ""СПЕЦГИДРОЭНЕРГОМОНТАЖ""",Малое предприятие,1027809192344,7815014022,78 - г.Санкт-Петербург,,2018-10-08,Да,Нет,Нет,9.0,7048578
5227,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРЛАН""",Малое предприятие,1181690091263,1655409759,16 - Республика Татарстан (Татарстан),г Казань,2018-10-12,Нет,Нет,Нет,15.0,10839026
5241,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА № 8""",Среднее предприятие,1022102832146,2115000346,21 - Чувашская Республика - Чувашия,г Цивильск,2017-10-08,Да,Нет,Нет,123.0,5280188
5243,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТРОС""",Малое предприятие,1037835001038,7816131635,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,48.0,4915790
5253,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОГРАНИЧНАЯ МЕЖХОЗЯЙСТВЕННАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""",Малое предприятие,1032501180810,2525003164,25 - Приморский край,,2017-10-08,Да,Нет,Нет,35.0,5733479
5255,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОДРЯДЧИК""",Малое предприятие,1086316006589,6316135260,63 - Самарская область,г Самара,2017-10-08,Да,Нет,Нет,9.0,5662996
5267,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИОРИТЕТ-СТРОЙ ИНЖИНИРИНГ""",Среднее предприятие,1147746714070,7714938405,50 - Московская область,г Красногорск,2017-10-08,Да,Нет,Нет,56.0,8609570
5283,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОКОНС""",Малое предприятие,1037715032827,7715278180,77 - г.Москва,,2022-10-07,Да,Нет,Нет,,2760036
5286,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМИНДУСТРИЯ АГ""",Малое предприятие,1027739533227,7706194960,77 - г.Москва,,2020-10-08,Да,Нет,Нет,37.0,4315526
5288,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОММОНОЛИТ""",Среднее предприятие,1037843057724,7803058547,78 - г.Санкт-Петербург,,2021-10-11,Да,Нет,Нет,0.0,6384558
5292,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМСТРОЙСЕРВИС""",Малое предприятие,1080603000180,603282806,77 - г.Москва,,2021-10-07,Да,Нет,Нет,50.0,2656019
5293,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМСТРОЙТЕХНО-ИНВЕСТ""",Малое предприятие,1037739271140,7709211195,77 - г.Москва,,2020-10-08,Да,Нет,Нет,3.0,6490769
5300,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОФИСТРОЙ""",Малое предприятие,1154401001677,4401159638,44 - Костромская область,г Кострома,2017-10-08,Да,Нет,Нет,40.0,9108182
5302,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПТИЦЕСТРОЙ""",Малое предприятие,1023902299277,3917000617,39 - Калининградская область,,2022-10-02,Нет,Нет,Нет,16.0,5783466
5304,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПУСК""",Малое предприятие,1056605287562,6674164790,66 - Свердловская область,г Екатеринбург,2017-10-08,Да,Нет,Нет,89.0,2511993
5313,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНСТРОЙ""",Малое предприятие,1020300795602,317002279,03 - Республика Бурятия,г Северобайкальск,2017-10-08,Да,Нет,Нет,4.0,6693745
5317,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМОНТ ТОННЕЛЕЙ И МОСТОВ""",Малое предприятие,1147746707712,7714938300,77 - г.Москва,,2017-10-08,Да,Нет,Нет,38.0,8582853
5319,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 10""",Малое предприятие,1021603463727,1659002192,16 - Республика Татарстан (Татарстан),г Казань,2017-10-08,Нет,Нет,Нет,29.0,6721645
5323,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМСТРОЙ-АЛЕКСС""",Среднее предприятие,1037739062756,7713161050,77 - г.Москва,,2017-10-08,Да,Нет,Нет,167.0,5261131
5328,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМСТРОЙЦЕНТР""",Малое предприятие,1032501284100,2536131136,25 - Приморский край,г Владивосток,2018-10-08,Нет,Нет,Нет,72.0,6493894
5330,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕНЕССАНС АКТИВ""",Среднее предприятие,1132543012040,2543028394,25 - Приморский край,г Владивосток,2017-10-08,Да,Нет,Нет,2.0,7948558
5351,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РСУ КУРОРТА""",Малое предприятие,1192225031283,2203003875,22 - Алтайский край,г Белокуриха,2020-10-08,Нет,Нет,Нет,43.0,11130070
5358,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССТРОЙКОМПЛЕКТ""",Малое предприятие,1217700502755,9701187346,77 - г.Москва,,2021-10-11,Нет,Нет,Нет,17.0,11696627
5375,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САТУРН""",Малое предприятие,1023202135494,3207001905,32 - Брянская область,,2017-10-08,Нет,Нет,Нет,90.0,5670950
5380,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВС-ЭМ""",Среднее предприятие,1117746809245,7728786311,77 - г.Москва,,2017-10-08,Да,Нет,Нет,112.0,755019
5386,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРЭКСКАВАЦИЯ""",Малое предприятие,1028301648540,8300003864,83 - Ненецкий автономный округ,,2017-10-08,Да,Нет,Нет,6.0,4032503
5398,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБСТРОЙСЕРВИС""",Среднее предприятие,1027200798360,7224001941,72 - Тюменская область,,2021-10-07,Да,Нет,Нет,16.0,
5401,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИГНАЛ""",Малое предприятие,1167746101698,7708280326,77 - г.Москва,,2017-10-08,Да,Нет,Нет,9.0,
