№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,id
384374,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОСНОВОБОРСКАЯ ГРАДОСТРОИТЕЛЬНАЯ КОМПАНИЯ""",Малое предприятие,1132452002693,2458013044,24 - Красноярский край,г Сосновоборск,2016-01-08,Нет,Нет,Нет,2.0,8170125
384407,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОТА-СТРОЙ""",Малое предприятие,1153525010540,3525347689,35 - Вологодская область,г Вологда,2016-01-08,Да,Нет,Нет,7.0,9217048
384477,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОУЛ ИНЖИНИРИНГ""",Малое предприятие,1157847255378,7801285640,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,30.0,9332618
384484,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОФ_САТ""",Малое предприятие,1142130012650,2130143469,21 - Чувашская Республика - Чувашия,г Чебоксары,2016-01-08,Нет,Нет,Нет,15.0,8864089
384534,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОФИТСТРОЙ""",Малое предприятие,1146320017580,6321359402,63 - Самарская область,г Тольятти,2016-01-08,Да,Нет,Нет,7.0,8851801
384650,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЦИАЛЬНАЯ ИНИЦИАТИВА МОСКВА-СЕВАСТОПОЛЬ""",Малое предприятие,1149204046023,9203006910,92 - г.Севастополь,,2016-01-08,Нет,Нет,Нет,7.0,8998066
384655,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЦИАЛЬНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Малое предприятие,1167746268953,9717019428,77 - г.Москва,,2021-10-07,Нет,Нет,Нет,3.0,9670118
384660,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЦИАЛЬНОЕ СТРОИТЕЛЬСТВО""",Малое предприятие,1181513001053,1513069465,15 - Республика Северная Осетия - Алания,г Владикавказ,2018-10-03,Нет,Нет,Нет,13.0,10552061
384678,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЦИУМ-МС""",Малое предприятие,1167746448297,7733284081,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,76.0,9746570
384688,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЦПРОМСТРОЙ""",Малое предприятие,1225900007101,5904400883,59 - Пермский край,г Пермь,2022-10-05,Нет,Нет,Нет,5.0,11821860
